a_a_1;tetrapsifios_mai;ktirio_ypiresia;perifereia_1;nomos_1;megethos_1;typos_1;diefthinsi_forea;arithmos;tk_1;dimos_1;longitude;latitude
238;239;ΚΕΠ ΜΟΣΧΑΤΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΠ;ΛΑΜΠΡΟΥ ΚΑΤΣΩΝΗ 69, ΜΟΣΧΑΤΟ, 18344, ΑΘΗΝΑ;;;;23,6784355;37,9487417
239;240;ΚΕΠ ΝΕΑΣ ΕΡΥΘΡΑΙΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΠ;ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 26, 14671 Ν. ΕΡΥΘΡΑΙΑ;;;;23,8137112;38,0921001
240;241;ΚΕΠ Ν. ΙΩΝΙΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΠ;ΠΑΤΡΙΑΡΧΟΥ ΙΩΑΚΕΙΜ 4, 14234, ΝΕΑ ΙΩΝΙΑ;;;;23,7617953;38,0402308
241;242;ΚΕΠ ΝΕΑΣ ΜΑΚΡΗΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΠ;Λ. ΜΑΡΑΘΩΝΟΣ 104  19005 ΝΕΑ ΜΑΚΡΗ;;;;23,9581251;38,0857456
242;243;ΚΕΠ ΝΕΑΣ ΣΜΥΡΝΗΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΠ;Κ. ΠΑΛΑΙΟΛΟΓΟΥ 22, 17121;;;;23,7109813;37,9459591
243;244;ΚΕΠ ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΠ;ΠΙΝΔΟΥ 22 14342 ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ;;;;23,7382085;38,0410593
244;245;ΚΕΠ ΝΕΟΥ ΨΥΧΙΚΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΠ;Γ. ΤΕΡΤΣΕΤΗ & Ν. ΠΑΡΙΤΣΗ 15451, ΝΈΟ ΨΥΧΙΚΟ;;;;23,7823321;38,0052459
246;247;ΚΕΠ ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΠ;ΑΓ. ΑΛΕΞΑΝΔΡΟΥ 75, 17561 ΠΑΛΑΙΟ ΦΑΛΗΡΟ ;;;;23,6889029;37,9294569
251;252;ΚΕΠ ΠΕΥΚΗΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΠ;ΔΗΜΟΚΡΑΤΙΑΣ 20(ΕΜΠΟΡΙΚΟ ΚΕΝΤΡΟ ΠΕΥΚΗΣ-ΑΛΚΟ), 15121 ΠΕΥΚΗ;;;;23,7915444;38,0588527
252;253;ΚΕΠ ΣΑΛΑΜΙΝΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΠ;ΛΕΩΦΟΡΟΣ ΙΠΠΟΚΡΑΤΟΥΣ 169, 18900 ΣΑΛΑΜΙΝΑ;;;;23,4418908;37,9040129
